yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,payroll
1988,AL,CHA,CHW,W,5,161,81,71,90,N,NA,N,N,631,5449,1327,224,35,132,446,908,98,46,34,43,757,659,4.12,11,9,43,4317,1467,138,533,754,154,177,0.976,Chicago White Sox,Comiskey Park,1115749,100,100,CHW,CHA,CHA,6390000
1988,NL,CHN,CHC,E,4,163,82,77,85,N,NA,N,N,660,5675,1481,262,46,113,403,910,120,46,21,46,694,625,3.84,30,10,29,4393,1494,115,490,897,125,128,0.98,Chicago Cubs,Wrigley Field,2089034,105,105,CHC,CHN,CHN,13119198
1988,NL,CIN,CIN,W,2,161,80,87,74,N,NA,N,N,641,5426,1334,246,25,122,479,922,207,56,37,51,596,541,3.35,24,13,43,4365,1271,121,504,934,125,131,0.98,Cincinnati Reds,Riverfront Stadium,2072528,104,104,CIN,CIN,CIN,8888409
1988,AL,CLE,CLE,E,6,162,81,78,84,N,NA,N,N,666,5505,1435,235,28,134,416,866,97,50,37,51,731,663,4.16,35,10,46,4302,1501,120,442,812,124,131,0.98,Cleveland Indians,Cleveland Stadium,1411610,102,103,CLE,CLE,CLE,8936500
1988,AL,DET,DET,E,2,162,81,88,74,N,NA,N,N,703,5433,1358,213,28,143,588,841,87,42,29,37,658,596,3.71,34,8,36,4337,1361,150,497,890,109,129,0.982,Detroit Tigers,Tiger Stadium,2081162,97,97,DET,DET,DET,12869571
1988,NL,HOU,HOU,W,5,162,81,82,80,N,NA,N,N,617,5494,1338,239,31,96,474,840,198,71,38,44,631,558,3.41,21,15,40,4424,1339,123,478,1049,138,124,0.978,Houston Astros,Astrodome,1933505,96,96,HOU,HOU,HOU,12286167
1988,AL,KCA,KCR,W,3,161,80,84,77,N,NA,N,N,704,5469,1419,275,40,121,486,944,137,54,33,51,648,580,3.65,29,12,32,4285,1415,102,465,886,124,147,0.98,Kansas City Royals,Royals Stadium,2350181,101,101,KCR,KCA,KCA,14556562
1988,NL,LAN,LAD,W,1,162,81,94,67,Y,NA,Y,Y,628,5431,1346,217,25,99,437,947,131,46,32,50,544,482,2.96,32,24,49,4390,1291,84,473,1029,142,126,0.977,Los Angeles Dodgers,Dodger Stadium,2980262,98,97,LAD,LAN,LAN,16850515
1988,AL,MIN,MIN,W,2,162,81,91,71,N,NA,N,N,759,5510,1508,294,31,151,528,832,107,63,55,50,672,625,3.93,18,9,52,4295,1457,146,453,897,84,155,0.986,Minnesota Twins,Hubert H Humphrey Metrodome,3030672,103,102,MIN,MIN,MIN,12462666
1988,AL,ML4,MIL,E,3,162,81,87,75,N,NA,N,N,682,5488,1409,258,26,113,439,911,159,55,37,41,616,555,3.45,30,8,51,4348,1355,125,437,832,120,146,0.981,Milwaukee Brewers,County Stadium,1923238,101,100,MIL,MIL,MIL,8402000
